R/L,Nama,A-la-carte,Paket 1,Paket 2
1,Hershey's McFlurry,15909,,
1,Double Choco Pie,15000,20909,
0,Rame-Rame 7 Ayam,104091,144545,
0,Rame-Rame 5 Ayam,76364,110909,
0,Nasi Special,,39545,
0,Nasi 1,,32727,
0,Nasi 2,35000,42727,43636
0,Cheeseburger Deluxe,25364,,37273
0,Cheeseburger,25909,,35909
0,Beef Burger Deluxe,20455,,35455
0,Chicken Burger Deluxe,20455,,35455
0,Big Mac,34545,,46364
0,Triple Cheeseburger,50909,,63182
0,Double Cheeseburger,33182,,44545
0,McSpicy,35455,,46364
0,McChicken,25909,,39091
0,McNuggets,25909,,38182
0,Fish Fillet Burger,25909,,36364
1,Korean Soy Garlic Wings,30454,27727,
1,Iced Coffee Caramel Macchiato,19545,,
0,Happy Meal,,,36282
0,Apple Pie,11364,,
0,French Fries,10909,,
0,Sweet Corn,10909,,
0,Spicy Chicken Bites,11818,,
0,Fish / Chicken Snack Wrap,15909,,
0,Chicken Fingers,13182,,
0,Beef / Chicken Burger,17727,,
0,Rica-Rica Chicken / Fish,20000,,
0,Rice McD,20000,,
0,Honey Garlic Chicken / Fish,20000,,
0,Choco / Strawberry Sundae,10909,,
0,McFlurry Choco / Oreo,12273,,
0,Coca-cola / Fanta McFloat,12727,,
0,Ice Cream Cone,7273,,
0,Choco Top,9545,,
0,Teh Botol / Fruit Tea,8636,,
0,Coca-cola / Fanta / Sprite,8636,,
0,Milo,11818,,
0,Prim-A ,10455,,
